,Sample.date,sampling.week,treatment,Heated,Invasion,Mesocosm,Sample,TimeAfterInv,Sample.number,rep,richness,S,H,simpson,inversimp,J,evenness
E.wk0.m10,19/05/20,0,HI,Y,Y,10,E-wk0-m10,0,-1,5,66,66,3.16116539,0.920772139,12.62182255,0.754516919,0.191239736
E.wk0.m11,19/05/20,0,HI,Y,Y,11,E-wk0-m11,0,-1,6,84,84,3.568311576,0.941099106,16.97767112,0.805339453,0.202115132
E.wk0.m12,19/05/20,0,I,N,Y,12,E-wk0-m12,0,-1,3,23,23,2.90763369,0.931574166,14.61436336,0.927328673,0.635407103
E.wk0.m13,19/05/20,0,C,N,N,13,E-wk0-m13,0,-1,3,29,29,3.100653014,0.942773545,17.47443548,0.920813962,0.602566741
E.wk0.m14,19/05/20,0,I,N,Y,14,E-wk0-m14,0,-1,4,4,4,1.08418314,0.580536646,2.383998484,0.78207282,0.595999621
E.wk0.m15,19/05/20,0,H,Y,N,15,E-wk0-m15,0,-1,1,25,25,2.525978061,0.839654517,6.236533633,0.784739207,0.249461345
E.wk0.m16,19/05/20,0,H,Y,N,16,E-wk0-m16,0,-1,2,64,64,3.270219012,0.925848833,13.48596445,0.786321459,0.210718195
E.wk0.m17,19/05/20,0,C,N,N,17,E-wk0-m17,0,-1,4,98,98,3.765647239,0.945656004,18.40129687,0.821302933,0.187768335
E.wk0.m19,19/05/20,0,I,N,Y,19,E-wk0-m19,0,-1,5,12,12,2.269463125,0.865655666,7.443559157,0.913299148,0.620296596
E.wk0.m2,19/05/20,0,C,N,N,2,E-wk0-m2,0,-1,1,18,18,2.500396988,0.867648865,7.555658645,0.865077989,0.419758814
E.wk0.m20,19/05/20,0,H,Y,N,20,E-wk0-m20,0,-1,3,18,18,2.718199349,0.923347957,13.04596666,0.940432435,0.724775925
E.wk0.m21,19/05/20,0,C,N,N,21,E-wk0-m21,0,-1,5,16,16,2.658126224,0.923383894,13.05208597,0.95871638,0.815755373
E.wk0.m23,19/05/20,0,H,Y,N,23,E-wk0-m23,0,-1,4,25,25,3.097604745,0.949310883,19.72810061,0.962325021,0.789124024
E.wk0.m24,19/05/20,0,C,N,N,24,E-wk0-m24,0,-1,6,72,72,3.272618586,0.928879435,14.06063068,0.76522658,0.195286537
E.wk0.m25,19/05/20,0,I,N,Y,25,E-wk0-m25,0,-1,6,108,108,3.867048494,0.961400291,25.90693125,0.825916299,0.239878993
E.wk0.m26,19/05/20,0,H,Y,N,26,E-wk0-m26,0,-1,5,82,82,3.627487413,0.943409312,17.67075163,0.82317189,0.215496971
E.wk0.m27,19/05/20,0,H,Y,N,27,E-wk0-m27,0,-1,6,26,26,3.131757208,0.951227773,20.50347199,0.961222963,0.788595077
E.wk0.m3,19/05/20,0,HI,Y,Y,3,E-wk0-m3,0,-1,1,30,30,2.388652559,0.824255062,5.690064329,0.702297541,0.189668811
E.wk0.m4,19/05/20,0,HI,Y,Y,4,E-wk0-m4,0,-1,2,22,22,2.870477282,0.93014355,14.31507049,0.928643759,0.650685022
E.wk0.m5,19/05/20,0,I,N,Y,5,E-wk0-m5,0,-1,1,15,15,2.503877967,0.899132803,9.914025883,0.924605447,0.660935059
E.wk0.m6,19/05/20,0,HI,Y,Y,6,E-wk0-m6,0,-1,3,10,10,1.530273773,0.630684165,2.707709515,0.664589455,0.270770952
E.wk0.m7,19/05/20,0,C,N,N,7,E-wk0-m7,0,-1,2,24,24,3.024147241,0.943533361,17.70957191,0.951572063,0.73789883
E.wk0.m8,19/05/20,0,HI,Y,Y,8,E-wk0-m8,0,-1,4,76,76,3.698222542,0.96098586,25.63173222,0.853948339,0.337259635
E.wk0.m9,19/05/20,0,I,N,Y,9,E-wk0-m9,0,-1,2,173,173,4.355517073,0.979516301,48.81930789,0.845191271,0.282192531
E.wk10.m10,28/07/20,10,HI,Y,Y,10,E-wk10-m10,0,0,5,100,100,3.602743126,0.952373787,20.99684042,0.78232573,0.209968404
E.wk10.m11,28/07/20,10,HI,Y,Y,11,E-wk10-m11,0,0,6,68,68,3.369319028,0.945298257,18.28095312,0.798509983,0.268837546
E.wk10.m12,28/07/20,10,I,N,Y,12,E-wk10-m12,0,0,3,64,64,3.38891484,0.939301771,16.47494522,0.814861772,0.257421019
E.wk10.m13,28/07/20,10,C,N,N,13,E-wk10-m13,0,0,3,31,31,2.93635612,0.896968657,9.705784416,0.855086506,0.31308982
E.wk10.m14,28/07/20,10,I,N,Y,14,E-wk10-m14,0,0,4,79,79,3.42285032,0.949876336,19.95065642,0.78335992,0.252539955
E.wk10.m15,28/07/20,10,H,Y,N,15,E-wk10-m15,0,0,1,22,22,2.921385378,0.93499539,15.38352435,0.945113314,0.699251107
E.wk10.m16,28/07/20,10,H,Y,N,16,E-wk10-m16,0,0,2,73,73,3.583642497,0.95167628,20.69377117,0.835258449,0.283476317
E.wk10.m17,28/07/20,10,C,N,N,17,E-wk10-m17,0,0,4,59,59,3.354793217,0.951308629,20.5375197,0.822749825,0.348093554
E.wk10.m19,28/07/20,10,I,N,Y,19,E-wk10-m19,0,0,5,80,80,3.818617468,0.960812341,25.51823789,0.871427261,0.318977974
E.wk10.m2,28/07/20,10,C,N,N,2,E-wk10-m2,0,0,1,120,120,4.104383517,0.973869339,38.26921974,0.857313963,0.318910165
E.wk10.m20,28/07/20,10,H,Y,N,20,E-wk10-m20,0,0,3,49,49,3.51266828,0.956360979,22.91527112,0.902577203,0.467658594
E.wk10.m21,28/07/20,10,C,N,N,21,E-wk10-m21,0,0,5,100,100,3.839808452,0.966956572,30.2632041,0.833803811,0.302632041
E.wk10.m23,28/07/20,10,H,Y,N,23,E-wk10-m23,0,0,4,89,89,3.807757721,0.961047464,25.67226975,0.84831058,0.288452469
E.wk10.m24,28/07/20,10,C,N,N,24,E-wk10-m24,0,0,6,72,72,3.705763412,0.960667408,25.42420802,0.866507534,0.353114
E.wk10.m25,28/07/20,10,I,N,Y,25,E-wk10-m25,0,0,6,93,93,3.709904191,0.959474789,24.67599749,0.818493713,0.265333306
E.wk10.m26,28/07/20,10,H,Y,N,26,E-wk10-m26,0,0,5,83,83,3.31581736,0.932029046,14.71216668,0.750381753,0.17725502
E.wk10.m27,28/07/20,10,H,Y,N,27,E-wk10-m27,0,0,6,83,83,3.735429993,0.944985518,18.17703188,0.845341646,0.219000384
E.wk10.m3,28/07/20,10,HI,Y,Y,3,E-wk10-m3,0,0,1,79,79,3.580476306,0.937157971,15.9129171,0.819434498,0.20142933
E.wk10.m4,28/07/20,10,HI,Y,Y,4,E-wk10-m4,0,0,2,130,130,4.020614076,0.970033417,33.37050432,0.826006291,0.256696187
E.wk10.m5,28/07/20,10,I,N,Y,5,E-wk10-m5,0,0,1,114,114,3.852791375,0.959880112,24.92529392,0.813477606,0.218642929
E.wk10.m6,28/07/20,10,HI,Y,Y,6,E-wk10-m6,0,0,3,108,108,3.665036651,0.956683851,23.08607826,0.782771023,0.213759984
E.wk10.m7,28/07/20,10,C,N,N,7,E-wk10-m7,0,0,2,113,113,4.087692175,0.970535547,33.93920172,0.864683062,0.300346918
E.wk10.m8,28/07/20,10,HI,Y,Y,8,E-wk10-m8,0,0,4,79,79,3.248708341,0.904437208,10.46432379,0.743505461,0.132459795
