,X.1,X,Sample.date,sampling.week,treatment,Heated,Invasion,Mesocosm,Sample,TimeAfterInv,Sample.number,rep,richness,S,H,simpson,inversimp,J,evenness
E.wk12.m10,E-wk12-m10,E-wk12-m10,11/08/20,12,HI,Y,Y,10,E-wk12-m10,0,1,5,119,119,3.991802427,0.973043719,37.09710505,0.835258271,0.311740379
E.wk12.m11,E-wk12-m11,E-wk12-m11,11/08/20,12,HI,Y,Y,11,E-wk12-m11,0,1,6,71,71,3.3134041,0.930143027,14.31496318,0.777305403,0.2016192
E.wk12.m12,E-wk12-m12,E-wk12-m12,11/08/20,12,I,N,Y,12,E-wk12-m12,0,1,3,52,52,3.308006734,0.9249374,13.32221379,0.837206452,0.256196419
E.wk12.m13,E-wk12-m13,E-wk12-m13,11/08/20,12,C,N,N,13,E-wk12-m13,0,1,3,53,53,3.333419685,0.941898243,17.21118351,0.839590579,0.324739311
E.wk12.m14,E-wk12-m14,E-wk12-m14,11/08/20,12,I,N,Y,14,E-wk12-m14,0,1,4,58,58,3.412340609,0.94952952,19.81356241,0.840386283,0.341613145
E.wk12.m15,E-wk12-m15,E-wk12-m15,11/08/20,12,H,Y,N,15,E-wk12-m15,0,1,1,52,52,3.176924593,0.927492431,13.79166356,0.804031545,0.265224299
E.wk12.m16,E-wk12-m16,E-wk12-m16,11/08/20,12,H,Y,N,16,E-wk12-m16,0,1,2,27,27,2.984729968,0.927768261,13.84432948,0.905606099,0.512752944
E.wk12.m17,E-wk12-m17,E-wk12-m17,11/08/20,12,C,N,N,17,E-wk12-m17,0,1,4,62,62,3.223550506,0.936496913,15.74726592,0.781062647,0.25398816
E.wk12.m19,E-wk12-m19,E-wk12-m19,11/08/20,12,I,N,Y,19,E-wk12-m19,0,1,5,79,79,3.791909334,0.966298415,29.6721948,0.867823456,0.375597402
E.wk12.m2,E-wk12-m2,E-wk12-m2,11/08/20,12,C,N,N,2,E-wk12-m2,0,1,1,121,121,3.998591579,0.972516292,36.38519236,0.833771104,0.300704069
E.wk12.m20,E-wk12-m20,E-wk12-m20,11/08/20,12,H,Y,N,20,E-wk12-m20,0,1,3,75,75,3.525243645,0.952627245,21.10917963,0.816503382,0.281455728
E.wk12.m21,E-wk12-m21,E-wk12-m21,11/08/20,12,C,N,N,21,E-wk12-m21,0,1,5,70,70,3.120658584,0.915376681,11.8170738,0.734532677,0.16881534
E.wk12.m23,E-wk12-m23,E-wk12-m23,11/08/20,12,H,Y,N,23,E-wk12-m23,0,1,4,92,92,3.828655035,0.963893822,27.69609123,0.846712527,0.30104447
E.wk12.m24,E-wk12-m24,E-wk12-m24,11/08/20,12,C,N,N,24,E-wk12-m24,0,1,6,10,10,2.155456344,0.869742659,7.677110516,0.936102796,0.767711052
E.wk12.m25,E-wk12-m25,E-wk12-m25,11/08/20,12,I,N,Y,25,E-wk12-m25,0,1,6,81,81,3.687432805,0.957952175,23.78244292,0.839111496,0.293610406
E.wk12.m26,E-wk12-m26,E-wk12-m26,11/08/20,12,H,Y,N,26,E-wk12-m26,0,1,5,105,105,3.806315414,0.964607562,28.25462319,0.817865888,0.269091649
E.wk12.m27,E-wk12-m27,E-wk12-m27,11/08/20,12,H,Y,N,27,E-wk12-m27,0,1,6,130,130,4.032638758,0.969144024,32.40863346,0.828476675,0.24929718
E.wk12.m3,E-wk12-m3,E-wk12-m3,11/08/20,12,HI,Y,Y,3,E-wk12-m3,0,1,1,78,78,3.54086887,0.95119356,20.48909958,0.812739389,0.262680764
E.wk12.m4,E-wk12-m4,E-wk12-m4,11/08/20,12,HI,Y,Y,4,E-wk12-m4,0,1,2,75,75,3.650966908,0.955326362,22.38456624,0.84562292,0.298460883
E.wk12.m5,E-wk12-m5,E-wk12-m5,11/08/20,12,I,N,Y,5,E-wk12-m5,0,1,1,78,78,3.520073141,0.951783469,20.73977511,0.807966123,0.265894553
E.wk12.m6,E-wk12-m6,E-wk12-m6,11/08/20,12,HI,Y,Y,6,E-wk12-m6,0,1,3,111,111,3.784953137,0.955034124,22.23908629,0.803679555,0.200352129
E.wk12.m7,E-wk12-m7,E-wk12-m7,11/08/20,12,C,N,N,7,E-wk12-m7,0,1,2,72,72,3.565071325,0.955088178,22.26585249,0.833609926,0.309247951
E.wk12.m8,E-wk12-m8,E-wk12-m8,11/08/20,12,HI,Y,Y,8,E-wk12-m8,0,1,4,84,84,3.71866204,0.955958665,22.70594185,0.839272353,0.270308831
E.wk12.m9,E-wk12-m9,E-wk12-m9,11/08/20,12,I,N,Y,9,E-wk12-m9,0,1,2,89,89,3.682059077,0.955212822,22.32781905,0.820306831,0.250874371
E.wk14.m10,E-wk14-m10,E-wk14-m10,25/08/20,14,HI,Y,Y,10,E-wk14-m10,0,2,5,41,41,3.427922161,0.956894718,23.1990131,0.923079477,0.565829588
E.wk14.m11,E-wk14-m11,E-wk14-m11,25/08/20,14,HI,Y,Y,11,E-wk14-m11,0,2,6,60,60,3.266594482,0.933037605,14.93375503,0.797830869,0.248895917
E.wk14.m12,E-wk14-m12,E-wk14-m12,25/08/20,14,I,N,Y,12,E-wk14-m12,0,2,3,66,66,3.557569233,0.955085419,22.26448483,0.849131838,0.337340679
E.wk14.m13,E-wk14-m13,E-wk14-m13,25/08/20,14,C,N,N,13,E-wk14-m13,0,2,3,99,99,3.706418655,0.961859603,26.21891936,0.806598908,0.264837569
E.wk14.m14,E-wk14-m14,E-wk14-m14,25/08/20,14,I,N,Y,14,E-wk14-m14,0,2,4,95,95,3.798564024,0.963406524,27.32727542,0.834138497,0.287655531
E.wk14.m15,E-wk14-m15,E-wk14-m15,25/08/20,14,H,Y,N,15,E-wk14-m15,0,2,1,55,55,3.585029122,0.96155837,26.01346523,0.894617182,0.472972095
E.wk14.m16,E-wk14-m16,E-wk14-m16,25/08/20,14,H,Y,N,16,E-wk14-m16,0,2,2,51,51,3.249650764,0.937066299,15.88973767,0.826499206,0.311563484
E.wk14.m17,E-wk14-m17,E-wk14-m17,25/08/20,14,C,N,N,17,E-wk14-m17,0,2,4,37,37,2.698162477,0.901483645,10.15059881,0.747223433,0.274340508
E.wk14.m19,E-wk14-m19,E-wk14-m19,25/08/20,14,I,N,Y,19,E-wk14-m19,0,2,5,96,96,3.708448145,0.95590301,22.6772846,0.81248143,0.236221715
E.wk14.m2,E-wk14-m2,E-wk14-m2,25/08/20,14,C,N,N,2,E-wk14-m2,0,2,1,35,35,3.05454489,0.907450908,10.80507634,0.859140888,0.308716467
E.wk14.m20,E-wk14-m20,E-wk14-m20,25/08/20,14,H,Y,N,20,E-wk14-m20,0,2,3,63,63,3.178818738,0.919158442,12.36987544,0.767249667,0.196347229
E.wk14.m21,E-wk14-m21,E-wk14-m21,25/08/20,14,C,N,N,21,E-wk14-m21,0,2,5,49,49,3.685412207,0.969230791,32.50002317,0.946963612,0.663265779
E.wk14.m23,E-wk14-m23,E-wk14-m23,25/08/20,14,H,Y,N,23,E-wk14-m23,0,2,4,53,53,3.488690483,0.94769999,19.12045518,0.878698735,0.360763305
E.wk14.m24,E-wk14-m24,E-wk14-m24,25/08/20,14,C,N,N,24,E-wk14-m24,0,2,6,33,33,3.065006835,0.930029693,14.29177672,0.876590936,0.433084143
E.wk14.m25,E-wk14-m25,E-wk14-m25,25/08/20,14,I,N,Y,25,E-wk14-m25,0,2,6,63,63,3.75284335,0.965761804,29.20714652,0.905798048,0.4636055
E.wk14.m26,E-wk14-m26,E-wk14-m26,25/08/20,14,H,Y,N,26,E-wk14-m26,0,2,5,38,38,3.196232613,0.941626441,17.13104386,0.878668565,0.450816944
E.wk14.m27,E-wk14-m27,E-wk14-m27,25/08/20,14,H,Y,N,27,E-wk14-m27,0,2,6,99,99,3.711419561,0.955835791,22.64276964,0.807687216,0.228714845
E.wk14.m3,E-wk14-m3,E-wk14-m3,25/08/20,14,HI,Y,Y,3,E-wk14-m3,0,2,1,75,75,3.233421797,0.933045366,14.93548611,0.748912727,0.199139815
E.wk14.m4,E-wk14-m4,E-wk14-m4,25/08/20,14,HI,Y,Y,4,E-wk14-m4,0,2,2,119,119,3.876174544,0.961509827,25.98065765,0.811063901,0.218324854
E.wk14.m5,E-wk14-m5,E-wk14-m5,25/08/20,14,I,N,Y,5,E-wk14-m5,0,2,1,70,70,3.588867725,0.945325088,18.28992443,0.844738553,0.261284635
E.wk14.m6,E-wk14-m6,E-wk14-m6,25/08/20,14,HI,Y,Y,6,E-wk14-m6,0,2,3,119,119,3.901489798,0.967161421,30.45198721,0.816360951,0.255899052
E.wk14.m7,E-wk14-m7,E-wk14-m7,25/08/20,14,C,N,N,7,E-wk14-m7,0,2,2,113,113,3.855896659,0.965897444,29.32331528,0.815650589,0.259498365
E.wk14.m8,E-wk14-m8,E-wk14-m8,25/08/20,14,HI,Y,Y,8,E-wk14-m8,0,2,4,122,122,3.823399123,0.962118033,26.39778456,0.795874766,0.216375283
E.wk14.m9,E-wk14-m9,E-wk14-m9,25/08/20,14,I,N,Y,9,E-wk14-m9,0,2,2,72,72,3.730184518,0.964622537,28.26658309,0.872217848,0.392591432
E.wk18.m10,E-wk18-m10,E-wk18-m10,22/09/20,18,HI,Y,Y,10,E-wk18-m10,0,3,5,90,90,3.705720761,0.960690353,25.43904776,0.823528334,0.282656086
E.wk18.m11,E-wk18-m11,E-wk18-m11,22/09/20,18,HI,Y,Y,11,E-wk18-m11,0,3,6,51,51,2.861600856,0.909574153,11.05878495,0.727804619,0.216838921
E.wk18.m12,E-wk18-m12,E-wk18-m12,22/09/20,18,I,N,Y,12,E-wk18-m12,0,3,3,50,50,3.16390147,0.929330338,14.15034358,0.808763513,0.283006872
E.wk18.m13,E-wk18-m13,E-wk18-m13,22/09/20,18,C,N,N,13,E-wk18-m13,0,3,3,51,51,2.932710231,0.893032917,9.348670353,0.745890206,0.183307262
E.wk18.m14,E-wk18-m14,E-wk18-m14,22/09/20,18,I,N,Y,14,E-wk18-m14,0,3,4,56,56,3.280761744,0.939748229,16.5970226,0.815024871,0.296375404
E.wk18.m15,E-wk18-m15,E-wk18-m15,22/09/20,18,H,Y,N,15,E-wk18-m15,0,3,1,61,61,3.265633046,0.937299969,15.94895537,0.794389016,0.261458285
E.wk18.m16,E-wk18-m16,E-wk18-m16,22/09/20,18,H,Y,N,16,E-wk18-m16,0,3,2,53,53,2.884809068,0.889612867,9.059026826,0.726598731,0.170925034
E.wk18.m17,E-wk18-m17,E-wk18-m17,22/09/20,18,C,N,N,17,E-wk18-m17,0,3,4,53,53,3.326213784,0.938901248,16.3669465,0.837775624,0.308810311
E.wk18.m19,E-wk18-m19,E-wk18-m19,22/09/20,18,I,N,Y,19,E-wk18-m19,0,3,5,61,61,3.68417712,0.960532328,25.33719271,0.89620291,0.415363815
E.wk18.m2,E-wk18-m2,E-wk18-m2,22/09/20,18,C,N,N,2,E-wk18-m2,0,3,1,41,41,3.165900542,0.927772605,13.84516225,0.852521638,0.337686884
E.wk18.m20,E-wk18-m20,E-wk18-m20,22/09/20,18,H,Y,N,20,E-wk18-m20,0,3,3,49,49,2.956233016,0.896890628,9.698439446,0.759601623,0.197927336
E.wk18.m21,E-wk18-m21,E-wk18-m21,22/09/20,18,C,N,N,21,E-wk18-m21,0,3,5,44,44,3.487944327,0.960724872,25.46140643,0.921714994,0.578668328
E.wk18.m23,E-wk18-m23,E-wk18-m23,22/09/20,18,H,Y,N,23,E-wk18-m23,0,3,4,50,50,3.264589945,0.941998764,17.24101187,0.834501725,0.344820237
E.wk18.m24,E-wk18-m24,E-wk18-m24,22/09/20,18,C,N,N,24,E-wk18-m24,0,3,6,55,55,3.262798234,0.945095366,18.2133988,0.814206876,0.331152706
E.wk18.m25,E-wk18-m25,E-wk18-m25,22/09/20,18,I,N,Y,25,E-wk18-m25,0,3,6,68,68,3.710159129,0.962245493,26.48690405,0.879287203,0.389513295
E.wk18.m26,E-wk18-m26,E-wk18-m26,22/09/20,18,H,Y,N,26,E-wk18-m26,0,3,5,75,75,3.449531575,0.928232868,13.93395508,0.798967243,0.185786068
E.wk18.m27,E-wk18-m27,E-wk18-m27,22/09/20,18,H,Y,N,27,E-wk18-m27,0,3,6,93,93,3.495201171,0.925163681,13.3624959,0.771125085,0.143682752
E.wk18.m3,E-wk18-m3,E-wk18-m3,22/09/20,18,HI,Y,Y,3,E-wk18-m3,0,3,1,121,121,3.956294995,0.968365253,31.61081024,0.824951582,0.261246366
E.wk18.m4,E-wk18-m4,E-wk18-m4,22/09/20,18,HI,Y,Y,4,E-wk18-m4,0,3,2,106,106,3.63669676,0.944573798,18.04200828,0.779831512,0.170207625
E.wk18.m5,E-wk18-m5,E-wk18-m5,22/09/20,18,I,N,Y,5,E-wk18-m5,0,3,1,58,58,3.307197205,0.933962773,15.14297378,0.814491718,0.261085755
E.wk18.m6,E-wk18-m6,E-wk18-m6,22/09/20,18,HI,Y,Y,6,E-wk18-m6,0,3,3,130,130,3.967492377,0.966029551,29.43735033,0.815092819,0.226441156
E.wk18.m7,E-wk18-m7,E-wk18-m7,22/09/20,18,C,N,N,7,E-wk18-m7,0,3,2,61,61,3.335878975,0.936625092,15.77911573,0.81147685,0.258674028
E.wk18.m8,E-wk18-m8,E-wk18-m8,22/09/20,18,HI,Y,Y,8,E-wk18-m8,0,3,4,135,135,4.104091372,0.972416974,36.25418084,0.836669006,0.268549488
E.wk18.m9,E-wk18-m9,E-wk18-m9,22/09/20,18,I,N,Y,9,E-wk18-m9,0,3,2,74,74,3.44827793,0.942407165,17.363271,0.8011677,0.234638797
E.wk22.m10,E-wk22-m10,E-wk22-m10,20/10/20,22,HI,Y,Y,10,E-wk22-m10,0,4,5,119,119,4.075318867,0.973685743,38.0022125,0.852733534,0.319346324
E.wk22.m11,E-wk22-m11,E-wk22-m11,20/10/20,22,HI,Y,Y,11,E-wk22-m11,0,4,6,58,58,3.059259692,0.881419501,8.433089841,0.753430028,0.145398101
E.wk22.m12,E-wk22-m12,E-wk22-m12,20/10/20,22,I,N,Y,12,E-wk22-m12,0,4,3,58,58,3.228236354,0.939633258,16.56541291,0.795045355,0.285610567
E.wk22.m13,E-wk22-m13,E-wk22-m13,20/10/20,22,C,N,N,13,E-wk22-m13,0,4,3,31,31,2.183043524,0.765255389,4.259948703,0.635716849,0.1374177
E.wk22.m14,E-wk22-m14,E-wk22-m14,20/10/20,22,I,N,Y,14,E-wk22-m14,0,4,4,44,44,2.94996181,0.908840135,10.9697398,0.779549149,0.249312268
E.wk22.m15,E-wk22-m15,E-wk22-m15,20/10/20,22,H,Y,N,15,E-wk22-m15,0,4,1,38,38,2.776640261,0.882940075,8.542633164,0.763319448,0.224806136
E.wk22.m16,E-wk22-m16,E-wk22-m16,20/10/20,22,H,Y,N,16,E-wk22-m16,0,4,2,58,58,3.012199549,0.883360261,8.573407383,0.741840125,0.147817369
E.wk22.m17,E-wk22-m17,E-wk22-m17,20/10/20,22,C,N,N,17,E-wk22-m17,0,4,4,48,48,2.828655451,0.887268747,8.870654518,0.730691959,0.184805302
E.wk22.m19,E-wk22-m19,E-wk22-m19,20/10/20,22,I,N,Y,19,E-wk22-m19,0,4,5,45,45,2.979974435,0.884815303,8.681708828,0.782831271,0.192926863
E.wk22.m2,E-wk22-m2,E-wk22-m2,20/10/20,22,C,N,N,2,E-wk22-m2,0,4,1,58,58,3.290030552,0.936677436,15.79215893,0.81026394,0.272278602
E.wk22.m20,E-wk22-m20,E-wk22-m20,20/10/20,22,H,Y,N,20,E-wk22-m20,0,4,3,20,20,2.570774717,0.884916616,8.689351701,0.858145683,0.434467585
E.wk22.m21,E-wk22-m21,E-wk22-m21,20/10/20,22,C,N,N,21,E-wk22-m21,0,4,5,27,27,2.139427057,0.759529938,4.158521815,0.649130143,0.154019326
E.wk22.m23,E-wk22-m23,E-wk22-m23,20/10/20,22,H,Y,N,23,E-wk22-m23,0,4,4,55,55,3.116492972,0.931376216,14.57220719,0.777697493,0.264949222
E.wk22.m24,E-wk22-m24,E-wk22-m24,20/10/20,22,C,N,N,24,E-wk22-m24,0,4,6,40,40,2.56727632,0.857019506,6.993961013,0.69595018,0.174849025
E.wk22.m25,E-wk22-m25,E-wk22-m25,20/10/20,22,I,N,Y,25,E-wk22-m25,0,4,6,43,43,3.435609082,0.957689224,23.63464072,0.91343427,0.549642807
E.wk22.m26,E-wk22-m26,E-wk22-m26,20/10/20,22,H,Y,N,26,E-wk22-m26,0,4,5,75,75,3.533329408,0.949323767,19.73311615,0.818376175,0.263108215
E.wk22.m27,E-wk22-m27,E-wk22-m27,20/10/20,22,H,Y,N,27,E-wk22-m27,0,4,6,63,63,3.294773692,0.942769115,17.47308297,0.795236918,0.277350523
E.wk22.m3,E-wk22-m3,E-wk22-m3,20/10/20,22,HI,Y,Y,3,E-wk22-m3,0,4,1,93,93,3.709220364,0.955437033,22.44015735,0.818342845,0.241292015
E.wk22.m4,E-wk22-m4,E-wk22-m4,20/10/20,22,HI,Y,Y,4,E-wk22-m4,0,4,2,87,87,3.516413831,0.950710252,20.28819455,0.787390546,0.233197639
E.wk22.m5,E-wk22-m5,E-wk22-m5,20/10/20,22,I,N,Y,5,E-wk22-m5,0,4,1,38,38,2.607630869,0.871333633,7.772038813,0.716857486,0.204527337
E.wk22.m6,E-wk22-m6,E-wk22-m6,20/10/20,22,HI,Y,Y,6,E-wk22-m6,0,4,3,130,130,3.970519635,0.967778471,31.03515089,0.815714747,0.23873193
