,X.1,X,Sample.date,sampling.week,treatment,Heated,Invasion,Mesocosm,Sample,TimeAfterInv,Sample.number,rep,richness,S,H,simpson,inversimp,J,evenness
E.wk22.m10,E-wk22-m10,E-wk22-m10,20/10/20,22,HI,Y,Y,10,E-wk22-m10,0,4,5,119,119,4.075318867,0.973685743,38.0022125,0.852733534,0.319346324
E.wk22.m11,E-wk22-m11,E-wk22-m11,20/10/20,22,HI,Y,Y,11,E-wk22-m11,0,4,6,58,58,3.059259692,0.881419501,8.433089841,0.753430028,0.145398101
E.wk22.m12,E-wk22-m12,E-wk22-m12,20/10/20,22,I,N,Y,12,E-wk22-m12,0,4,3,58,58,3.228236354,0.939633258,16.56541291,0.795045355,0.285610567
E.wk22.m13,E-wk22-m13,E-wk22-m13,20/10/20,22,C,N,N,13,E-wk22-m13,0,4,3,31,31,2.183043524,0.765255389,4.259948703,0.635716849,0.1374177
E.wk22.m14,E-wk22-m14,E-wk22-m14,20/10/20,22,I,N,Y,14,E-wk22-m14,0,4,4,44,44,2.94996181,0.908840135,10.9697398,0.779549149,0.249312268
E.wk22.m15,E-wk22-m15,E-wk22-m15,20/10/20,22,H,Y,N,15,E-wk22-m15,0,4,1,38,38,2.776640261,0.882940075,8.542633164,0.763319448,0.224806136
E.wk22.m16,E-wk22-m16,E-wk22-m16,20/10/20,22,H,Y,N,16,E-wk22-m16,0,4,2,58,58,3.012199549,0.883360261,8.573407383,0.741840125,0.147817369
E.wk22.m17,E-wk22-m17,E-wk22-m17,20/10/20,22,C,N,N,17,E-wk22-m17,0,4,4,48,48,2.828655451,0.887268747,8.870654518,0.730691959,0.184805302
E.wk22.m19,E-wk22-m19,E-wk22-m19,20/10/20,22,I,N,Y,19,E-wk22-m19,0,4,5,45,45,2.979974435,0.884815303,8.681708828,0.782831271,0.192926863
E.wk22.m2,E-wk22-m2,E-wk22-m2,20/10/20,22,C,N,N,2,E-wk22-m2,0,4,1,58,58,3.290030552,0.936677436,15.79215893,0.81026394,0.272278602
E.wk22.m20,E-wk22-m20,E-wk22-m20,20/10/20,22,H,Y,N,20,E-wk22-m20,0,4,3,20,20,2.570774717,0.884916616,8.689351701,0.858145683,0.434467585
E.wk22.m21,E-wk22-m21,E-wk22-m21,20/10/20,22,C,N,N,21,E-wk22-m21,0,4,5,27,27,2.139427057,0.759529938,4.158521815,0.649130143,0.154019326
E.wk22.m23,E-wk22-m23,E-wk22-m23,20/10/20,22,H,Y,N,23,E-wk22-m23,0,4,4,55,55,3.116492972,0.931376216,14.57220719,0.777697493,0.264949222
E.wk22.m24,E-wk22-m24,E-wk22-m24,20/10/20,22,C,N,N,24,E-wk22-m24,0,4,6,40,40,2.56727632,0.857019506,6.993961013,0.69595018,0.174849025
E.wk22.m25,E-wk22-m25,E-wk22-m25,20/10/20,22,I,N,Y,25,E-wk22-m25,0,4,6,43,43,3.435609082,0.957689224,23.63464072,0.91343427,0.549642807
E.wk22.m26,E-wk22-m26,E-wk22-m26,20/10/20,22,H,Y,N,26,E-wk22-m26,0,4,5,75,75,3.533329408,0.949323767,19.73311615,0.818376175,0.263108215
E.wk22.m27,E-wk22-m27,E-wk22-m27,20/10/20,22,H,Y,N,27,E-wk22-m27,0,4,6,63,63,3.294773692,0.942769115,17.47308297,0.795236918,0.277350523
E.wk22.m3,E-wk22-m3,E-wk22-m3,20/10/20,22,HI,Y,Y,3,E-wk22-m3,0,4,1,93,93,3.709220364,0.955437033,22.44015735,0.818342845,0.241292015
E.wk22.m4,E-wk22-m4,E-wk22-m4,20/10/20,22,HI,Y,Y,4,E-wk22-m4,0,4,2,87,87,3.516413831,0.950710252,20.28819455,0.787390546,0.233197639
E.wk22.m5,E-wk22-m5,E-wk22-m5,20/10/20,22,I,N,Y,5,E-wk22-m5,0,4,1,38,38,2.607630869,0.871333633,7.772038813,0.716857486,0.204527337
E.wk22.m6,E-wk22-m6,E-wk22-m6,20/10/20,22,HI,Y,Y,6,E-wk22-m6,0,4,3,130,130,3.970519635,0.967778471,31.03515089,0.815714747,0.23873193
E.wk22.m7,E-wk22-m7,E-wk22-m7,20/10/20,22,C,N,N,7,E-wk22-m7,0,4,2,47,47,3.419501785,0.952526231,21.06426378,0.888148232,0.448175825
E.wk22.m8,E-wk22-m8,E-wk22-m8,20/10/20,22,HI,Y,Y,8,E-wk22-m8,0,4,4,109,109,3.714844758,0.959340057,24.59423026,0.7918502,0.22563514
E.wk22.m9,E-wk22-m9,E-wk22-m9,20/10/20,22,I,N,Y,9,E-wk22-m9,0,4,2,68,68,3.458433012,0.93805129,16.14238612,0.819629505,0.237388031
