"","E-wk0-m10","E-wk0-m11","E-wk0-m12","E-wk0-m13","E-wk0-m14","E-wk0-m15","E-wk0-m16","E-wk0-m17","E-wk0-m19","E-wk0-m2","E-wk0-m20","E-wk0-m21","E-wk0-m23","E-wk0-m24","E-wk0-m25","E-wk0-m26","E-wk0-m27","E-wk0-m3","E-wk0-m4","E-wk0-m5","E-wk0-m6","E-wk0-m7","E-wk0-m8","E-wk0-m9","E-wk10-m10","E-wk10-m11","E-wk10-m12","E-wk10-m13","E-wk10-m14","E-wk10-m15","E-wk10-m16","E-wk10-m17","E-wk10-m19","E-wk10-m2","E-wk10-m20","E-wk10-m21","E-wk10-m23","E-wk10-m24","E-wk10-m25","E-wk10-m26","E-wk10-m27","E-wk10-m3","E-wk10-m4","E-wk10-m5","E-wk10-m6","E-wk10-m7","E-wk10-m8","E-wk10-m9","E-wk12-m10","E-wk12-m11","E-wk12-m12","E-wk12-m13","E-wk12-m14","E-wk12-m15","E-wk12-m16","E-wk12-m17","E-wk12-m19","E-wk12-m2","E-wk12-m20","E-wk12-m21","E-wk12-m23","E-wk12-m24","E-wk12-m25","E-wk12-m26","E-wk12-m27","E-wk12-m3","E-wk12-m4","E-wk12-m5","E-wk12-m6","E-wk12-m7","E-wk12-m8","E-wk12-m9","E-wk14-m10","E-wk14-m11","E-wk14-m12","E-wk14-m13","E-wk14-m14","E-wk14-m15","E-wk14-m16","E-wk14-m17","E-wk14-m19","E-wk14-m2","E-wk14-m20","E-wk14-m21","E-wk14-m23","E-wk14-m24","E-wk14-m25","E-wk14-m26","E-wk14-m27","E-wk14-m3","E-wk14-m4","E-wk14-m5","E-wk14-m6","E-wk14-m7","E-wk14-m8","E-wk14-m9","E-wk18-m10","E-wk18-m11","E-wk18-m12","E-wk18-m13","E-wk18-m14","E-wk18-m15","E-wk18-m16","E-wk18-m17","E-wk18-m19","E-wk18-m2","E-wk18-m20","E-wk18-m21","E-wk18-m23","E-wk18-m24","E-wk18-m25","E-wk18-m26","E-wk18-m27","E-wk18-m3","E-wk18-m4","E-wk18-m5","E-wk18-m6","E-wk18-m7","E-wk18-m8","E-wk18-m9","E-wk22-m10","E-wk22-m11","E-wk22-m12","E-wk22-m13","E-wk22-m14","E-wk22-m15","E-wk22-m16","E-wk22-m17","E-wk22-m19","E-wk22-m2","E-wk22-m20","E-wk22-m21","E-wk22-m23","E-wk22-m24","E-wk22-m25","E-wk22-m26","E-wk22-m27","E-wk22-m3","E-wk22-m4","E-wk22-m5","E-wk22-m6","E-wk22-m7","E-wk22-m8","E-wk22-m9"
"ASV31",0,3.29606432550064,3.77358272072258,2.28615512033153,0,2.10523754101689,4.99103615913829,0,0,0,0,0,0,27.3986792960744,24.2861429308054,17.9986605240423,6.16024419315246,0,0,3.98949872188811,0,0,9.41586322881324,5.21753818729709,84.9179520459204,27.7409232276217,43.2235888053819,0,68.1819729849066,0,5.15946675388881,35.5793482531118,0,0,51.367480570444,44.7275409097455,36.2353570458336,0,0,60.1882830588034,23.9798139735595,23.345506809053,0,82.7601664707284,41.3033444676514,44.6210313884399,35.3334202040442,0,77.5423077503017,6.24512169944717,0,0,34.6314981508422,14.0390420688205,0,0,0,0,31.1815890245267,0,31.6481184781461,0,0,5.03488220681983,3.28582510694713,24.7522982820332,0,33.1857096209376,10.5130828600499,59.2260778749151,20.8550967214348,56.2383689036327,29.821085548806,0,47.3588798967529,14.5319110589823,25.1954363751436,14.392784138704,0,0,0,0,0,11.827327794962,32.5838490987827,41.7384965763396,0,3.58259469656298,0,7.90884229803103,2.70918174583729,5.84063417795239,36.2151267523867,45.4839761538506,39.14352230174,16.1939261233412,74.1503950077823,2.38762922381422,27.1862785349772,0,4.51799728070708,35.8016395488251,0,0,0,0,40.8265534115897,17.683436121382,37.9519526432836,79.4334011416544,0,0,0,10.3138287228333,2.75915605385311,6.30351019648578,0,11.404731289384,15.4669173018617,10.869648663766,40.7272741041932,5.32290232063036,53.3738044734125,0,0,19.2349617846527,0,0.949686508518527,0,0,6.33766614830163,0,78.3011553260623,49.1394353103401,0,0,2.02643976550076,30.9289124730502,0,0,0,13.4121524823019,9.0380345780987,0
"ASV33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59193198966186,8.50009369368781,50.3412444320104,4.73926511031805,59.394233634605,4.60023734563475,0,39.1464721594359,0,0,7.16164585947058,41.7752144639744,41.4121985921174,0,0,0,0,3.61383760778253,0,82.476025206362,0,0,21.2165088779238,9.6844721411676,46.2788205721475,0,32.4251816161224,52.5685322907792,61.5836782572475,22.5385803854668,0,5.58939250191545,0,0,67.0994065219623,0,53.8965359610637,0,0,0,0,0,0,60.6511975024981,0,27.7655998748387,5.97850899104987,33.6037858915625,0,0,21.1724530415034,60.9118863538204,55.1296766717514,0,0,0,0,0,2.5179760463013,4.95977447915141,4.70365147323119,6.88191096601409,0,0,0,0,0,4.97201771281177,0,63.4047535629203,0,4.8941102722887,0,0,5.03535692965676,57.0570850988799,0,0,0,3.47620202282095,0,0,0,27.7921898169808,18.7583563423148,69.3294140246093,0,0,0,0,0,14.4016456194081,0,10.5535018222036,0,0,58.3347994866209,0,59.6019267991025,9.65864832788387,55.4858863959717,0,0,0,0,0,0,167.364182493364,13.3041393177715,79.468071518474,0,0,0,0,0,20.0076934765154,0,54.8057848052812,0,0
"ASV59",0,0,0,0,0,0,0,0,0,0,2.61350822519618,0,0,7.89590801587886,19.873512933852,9.04610032413643,0,2.74082090552489,3.28516667861821,0,0,0,3.87884782221273,0,57.1084758433396,16.4111347427672,31.6020167248223,5.89106961759813,49.8400004482029,0,0,16.6728511198525,0,0,45.4149370481026,34.3333235510203,39.1306621230037,0,0,47.8218393908979,13.367527205331,0,0,56.0248536793506,33.3171234510473,20.3768610403253,32.7430705266646,0.920338838305096,50.9476097683993,4.69516977657044,0,10.8421790388959,37.2007956850081,2.85805792759277,0,0,0,0,33.4163225682007,2.75612422660648,34.3185534509549,0,0.665530161458729,0,0,27.4179359085909,0,31.5370546926323,0,43.4420962228958,15.5117512898282,39.2673055712979,4.19342161376978,3.53177691024867,34.4800605965299,3.8353114348726,12.5911222390212,15.3528678377534,0,0,0,0,4.78965902704115,0,17.3243063969569,11.5285997280766,0,0,0,0,0,5.57763342697598,33.638501232605,38.8284130779994,40.6067651765863,4.52223686967344,50.1651467436526,0,4.7500190317626,4.80646179530626,14.4898155279148,36.6585520307608,0,3.47620202282095,0,0,35.9911493450514,4.70938066294988,39.2407465307947,56.453813227716,0,0,0,10.5191260097888,0,0,2.3685742191303,0,5.85918788765428,0,33.683053261415,0,41.1510393128124,4.64175184017278,0,6.97184179819287,0,0,0,0,6.75267383785713,2.30228238002401,51.9636370850911,39.0016637249534,0,0,0,25.7574722623899,3.77156738747221,0,3.03803270445154,9.91854750763784,0,0
"ASV152",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41354657052759,0,0,0,0,0,0,20.4355937973065,0,0,0,0,0,0,0,1.84896373351024,0,5.24444901031617,0,59.6596847821905,0,0,0,0,0.920338838305096,0,0,0,0,0,0,6.14978152115617,0,24.7326913488647,0,0,0,0,0,5.56653772697976,4.80360781505854,34.3597288373199,0,64.9904149001056,0,19.3512680198287,0,0,0,0,0,0,0,0,0,5.10904878483919,0,9.94360879361703,0,0,0,0,0,6.21208167910197,5.75189356871307,35.79716830115,2.29480015482569,59.6674426372193,0,67.606807301563,0,0,0,0,2.23583074786505,0,0,0,0,4.2618164127198,0,0,0,0,0,0,0,32.567010202588,16.3639909927977,0,45.2671208259642,21.1285151130088,0,0,0,53.3040568920754,0,0,0,0,0,0,0,3.28134518377074,0,0,0,0,0,0,0,10.8814689564291,0,0,4.86861899728529,4.25679248344241,0,2.49799765558456,0,0.823876905863093,0
"ASV157",0,2.97438157685466,0,0,0,0,0,5.77038499184848,0,0,0,0,4.8514333504934,0,0,0,0,0,0,0,0,0,4.61555121936343,0,59.7512912139642,0,16.1171546012203,17.6256360361981,0,6.73743362560481,0,0,22.1751769833171,0,7.32936591244651,0,0,64.2312849330159,0,0,0,0,0,23.9129914752223,0,0,34.9627323070968,0,65.4677566147956,0,5.72743789991906,6.3248049970694,0,5.3017568337159,0,0,8.91533762020776,0,45.1027680267982,5.28545835776777,0,0,0,74.0680054711419,0,0,0,17.704228126208,9.57439604845001,0,0,0,7.04541026529576,0,10.5265433085398,67.8237117893196,0,38.4978807826383,0,0,35.0762617898059,0,37.7967677923513,5.64771293154506,5.33155208095135,0,0,0,0,0,32.7911288349747,20.4047582816679,22.1664193958458,0,0,0,0,0,40.2259405180668,17.58527355703,0,0,0,0,4.77566254556548,0,0,5.93156244181077,4.57275689701721,0,0,17.0184094069421,0,16.3976225477967,36.6099845495775,26.7970607991233,16.2457123767955,0,20.577038339136,4.449914031174,0,5.28443468406088,41.7307630867536,0,17.6919515048258,0,34.4088145197799,0,0,0,0,0,3.44747342209289,0,0,27.6231568689177,0,19.3294163412617,16.9963809514242,19.5461593939952,16.7033731657168,0,32.0152205542501,16.391110868639
"ASV164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42802826284236,85.9008953286799,2.49944284382495,0,0,0,7.13076942711039,0,0,0,5.43140905005219,0,0,0,0,0,0,0,21.7546064426199,0,0,0,0,0,16.4781624727322,76.3218353108357,0,11.3410743753041,0,4.59409240608715,0,32.2060472116579,36.3701211789636,78.5137766839552,5.19936055420754,59.6612925166981,45.1505729610069,0,1.24846809017593,0,3.28582510694713,61.8961592364306,2.65132412657762,0,9.93945892794656,0,3.10500801050377,4.52132911104108,0,5.3385362155563,0,4.98380389853582,0,0,0,93.5914227316653,0,3.18988922597752,2.93259276850682,0,0,0,4.91763763645012,0,19.7814767766684,70.3768820891019,0,0,2.85166575623584,0,0,11.480098432577,2.90972886781341,0,0,0,0,26.2100455708808,0,4.61323288474431,4.39725652707711,0,0,0,5.15758432490034,0,0,3.78838165377162,3.04026649892038,0,0.0665156413703604,0,68.5526918724351,0,4.14873197299177,4.1021110467392,0,0,0,0,0,0,0,8.93470194996957,0,0,0,0,0,0,0,0,0,0,0,0,0.628067660576631,0,0,0
"ASV188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62338634457415,0,0,0,0,0,0,0,0,9.76789859909407,0,0,0,0,0,0,0,0,0,0,0,21.5842345695973,0,0,0,0,0,0,0,0,0,0,0,0,0,6.96516623372233,0,0,0,0,0,0,4.23440922712971,3.9444861620924,0,19.8698987009256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.36407176434708,0,7.44088487644376,0,18.2321214798883,0,20.9073795586834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3356128364234,5.57215761745218,0,14.6459903170181,12.6609038978195,0,0,0,16.5810067252934,0,0,4.24516745681723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV241",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.6618886767271,0,0,0,4.7938094825931,0,0,0,0,3.18112772170432,0,0,20.1493222260252,78.8690059400526,5.40845961598289,5.11030968144324,20.6717934087662,0,0,0,0,0,0,0,8.70175598699134,0,0,0,0,0,0,0,0,0,0,0,0,69.7714220786732,5.10973067267204,0,4.74366154589706,0,0,0,0,0,0,0,0,0,0,0,4.37496689728086,0,0,0,0,0,0,0,0,41.3467489036973,4.92098454151279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4694002616932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92764832676855,0,0,0
"ASV242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21935065847882,0,0,0,0,0,0,0,0,0,0,0,65.6974597123413,39.7583436733455,0,0,0,0,0,0,0,42.5967669448063,32.5440525822816,12.8952646610889,0,0,0,0,0,0,0,0,25.233757122333,0,0,0,3.28619982489987,48.2938857851484,0,0,0,0,22.8842718296004,0,0,31.6380414236941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0028716333918,43.4503006636002,0,0,0,0,0,12.8808138964894,49.3741814890591,2.85166575623584,0,18.3847992057626,14.2147880351924,10.1697748047597,3.58822153043373,0,0,17.2299827176784,0,0,0,0,0,0,24.6149777003761,6.27955587473075,0,0,3.63380938017947,0,14.6894261704783,4.45005014522132,43.0062730680373,29.9439310658442,0,0,53.9216887778881,25.5365607480674,0,0,0,0,0,0,8.65196481459362,0,0,0,0,27.8856765745634,0,0,35.4406054152305,0,0,39.9825708230092,3.20616660476589,39.1049719747762,0,0,39.0395096312295
"ASV313",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.56755519639121,0,0,2.87045877275555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7652040858484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.20289765845669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.47740370980051,0,9.67367961100619,0,0,0,3.26948272522923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9976485088049,17.9623051198273,0,16.8221023308385,0,0,0,0,0
