"","Kingdom","Supergroup","Division","Class","Order","Family","Genus","Species"
"ASV31","Eukaryota","Hacrobia","Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadales_X","Plagioselmis","Plagioselmis_prolonga"
"ASV33","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Cephalomonas","Cephalomonas_granulata"
"ASV59","Eukaryota","Hacrobia","Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadales_X","Plagioselmis","Genus_Plagioselmis"
"ASV152","Eukaryota","Alveolata","Ciliophora","Colpodea","Colpodea_X","Cyrtolophosidida","Cyrtolophosis","Cyrtolophosis_mucicola"
"ASV157","Eukaryota","Opisthokonta","Metazoa","Rotifera","Rotifera_X","Rotifera_XX","Brachionus","Brachionus_calyciflorus"
"ASV164","Eukaryota","Opisthokonta","Fungi","Chytridiomycota","Chytridiomycotina","Chytridiomycetes","Spizellomycetales-and-Rhizophlyctidales","Spizellomycetales-and-Rhizophlyctidales_sp."
"ASV188","Eukaryota","Alveolata","Ciliophora","Colpodea","Colpodea_X","Cyrtolophosidida","Cyrtolophosis","Genus_Cyrtolophosis"
"ASV241","Eukaryota","Archaeplastida","Streptophyta","Zygnemophyceae","Zygnemophyceae_X","Zygnemophyceae_XX","Cylindrocystis","Genus_Cylindrocystis"
"ASV242","Eukaryota","Alveolata","Ciliophora","Spirotrichea","Hypotrichia","Hypotrichia_X","Hypotrichia_XX","Hypotrichia_XX_sp."
"ASV313","Eukaryota","Stramenopiles","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_Clade-F","Paraphysomonas","Paraphysomonas_bandaiensis"
"ASV444","Eukaryota","Opisthokonta","Fungi","Chytridiomycota","Chytridiomycotina","Chytridiomycetes","Chytriomyces","Chytriomyces_sp."
"ASV447","Eukaryota","Rhizaria","Cercozoa","Filosa-Sarcomonadea","Glissomonadida","Order_Glissomonadida","Order_Glissomonadida","Order_Glissomonadida"
"ASV460","Eukaryota","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda","Family_Maxillopoda","Family_Maxillopoda"
"ASV477","Eukaryota","Rhizaria","Cercozoa","Filosa-Sarcomonadea","Class_Filosa-Sarcomonadea","Class_Filosa-Sarcomonadea","Class_Filosa-Sarcomonadea","Class_Filosa-Sarcomonadea"
"ASV515","Eukaryota","Stramenopiles","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_Clade-F","Paraphysomonas","Genus_Paraphysomonas"
"ASV527","Eukaryota","Stramenopiles","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_Clade-F","Family_Chrysophyceae_Clade-F","Family_Chrysophyceae_Clade-F"
